"Title","Author","Price","Genre","Stock","Status","Condition","Format","Special Feature","Synopsis","ISBN","Publisher"
"Leap of Faith, A","Ashley, Trisha","130.0","Fiction / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Women","","","","","","Sappho Jones stopped counting birthdays when she reached 30 but, even with her hazy grip on mathematics, she realizes that she's on the slippery slope to the big four-oh! With the thought suddenly lodged in her mind that she's a mere cat's whisker away from becoming a single eccentric female living in a country cottage in Wales, she has the urge to do something dramatic before it's too late. The trouble is, as an adventurous woman of a certain age, Sappho's pretty much been there, done that, got the T-shirt. In fact, the only thing she hasn't tried is motherhood. And with sexy potter Nye on hand as a potential daddy--or at least donor--is it time for her to consider the biggest leap of all? It's either that or buy a cat . . . Wonderfully wry, heart-warming and life-affirming, Trisha Ashley's hilarious novel is perfect for fans of romantic comedies by Milly Johnson and Jill Mansell.","'9781784160869","Transworld Publishers Limited"
"311 Pelican Court","Macomber, Debbie|Burr, Sandra","120.0","Fiction / General / Fiction / Sagas / Fiction / Media Tie-In / Fiction / Mystery & Detective / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Legal / Fiction / Women / Social Science / Customs & Traditions","","","","","","Welcome to Cedar Cove - a small town with a big heart! Rosie Cox loves her home town. But people are always interested in other people's business! Everyone knows that she and her husband, Zach, recently got a divorce. Everyone also knows that Judge Olivia Lockhart decreed a pretty unusual custody arrangement. It won't be the kids moving between her place and Zach's. Rosie and Zach will be going back and forth! But the biggest gossip has to do with the mysterious man who died at the local bed-and-breakfast. Who is he, and why did he show up in the middle of the night? Roy McAfee, the local private investigator, is making it his business to find out.","'9780778304821","Mira Books"
"Narrow Bed, The","Hannah, Sophie","200.0","Fiction / Mystery & Detective / General / Fiction / Thrillers / Suspense / Fiction / Thrillers / General / Fiction / Crime","","","","","","A must-read for fans of Clare Mackintosh and Paula Hawkins. 'Sophie Hannah is genuinely Christie's heir' The Scotsman 'Hugely entertaining, full of uncomfortable truths' London Evening Standard What if having a best friend was the most dangerous thing you could do? A killer that the police are calling 'Billy Dead Mates' is murdering pairs of best friends, one by one. Before they die, each victim is given a small white book... For months, detectives have failed to catch Billy, or work out what the white books mean. And then a woman, scared by what she's seen on the news, comes forward. Stand-up comedian Kim Tribbeck has one of Billy's peculiar little books. A stranger gave it to her at a gig she did a year ago. Was he Billy, and does he want to kill her? Kim has no friends and trusts no one, so how - and why - could she possibly be Billy Dead Mates' next target? This is the next chilling novel from the queen of psychological crime - a literary puzzle set to unlock the dark side of the mind . . .","'9781444776102","Hodder & Stoughton"
"Everything, Everything","Yoon, Nicola|(Traduction), Eric Chevreau","200.0","Juvenile Fiction / Family / General / Juvenile Fiction / Love & Romance / Juvenile Fiction / Social Themes / Friendship / Young Adult Fiction / Romance / General / YOUNG ADULT FICTION / Romance / Contemporary / Young Adult Fiction / Social Themes / Dating & Sex / YOUNG ADULT FICTION / Social Themes / Friendship / YOUNG ADULT FICTION / Social Themes / New Experience","","","","","","You've seen the amazing trailer for Everything, Everything starring Amandla Stenberg and Nick Robinson . . . Now read the incredible #1 New York Times bestselling story before you see the movie, in cinemas soon. 'Can't wait to see this! Absolutely loved the book' - Zoella Maddy is allergic to the world; stepping outside the sterile sanctuary of her home could kill her. But then Olly moves in next door. And just like that, Maddy realizes there's more to life than just being alive. You only get one chance at first love. And Maddy is ready to risk everything, everything to see where it leads. 'Powerful, lovely, heart-wrenching, and so absorbing I devoured it in one sitting' - Jennifer Niven, author of All the Bright Places And don't miss Nicola Yoon's #1 New York Times bestseller The Sun Is Also a Star, in which two teens are brought together just when the universe is sending them in opposite directions.","'9780552574235","Delacorte Press"
"Bared to You","Day, Sylvia|Redfield, Jill","180.0","Romance / erotica / adult / fiction / contemporary / bdsm / new adult / chick lit / Man-woman relationships / Fiction / nyt:trade-fiction-paperback=2012-07-01 / New York Times bestseller / Fiction, romance, erotic / Large type books / Fiction, romance, erotica / ","","","","","","","'9781405910231","Penguin Books, Limited"
"Bared to You","Day, Sylvia|Redfield, Jill","190.0","Romance / erotica / adult / fiction / contemporary / bdsm / new adult / chick lit / Man-woman relationships / Fiction / nyt:trade-fiction-paperback=2012-07-01 / New York Times bestseller / Fiction, romance, erotic / Large type books / Fiction, romance, erotica / ","","","","","","","'9781405910231","Penguin Books, Limited"
"Paper Towns","Green, John","140.0","Juvenile Fiction / Humorous Stories / Juvenile Fiction / Love & Romance / Juvenile Fiction / Mysteries & Detective Stories / Juvenile Fiction / People & Places / United States / General / Young Adult Fiction / General / Juvenile Fiction / General","","","","","","From the bestselling author of The Fault in our Stars and Looking for Alaska, now a major TV series Quentin Jacobsen has always loved Margo Roth Spiegelman, for Margo (and her adventures) are the stuff of legend at their high school. So when she one day climbs through his window and summons him on an all-night road trip of revenge he cannot help but follow. But the next day Margo doesn't come to school and a week later she is still missing. Q soon learns that there are clues in her disappearance . . . and they are for him. But as he gets deeper into the mystery - culminating in another awesome road trip across America - he becomes less sure of who and what he is looking for. Masterfully written by John Green, this is a thoughtful, insightful and hilarious coming-of-age story.","'9781408848180","A&C Black"
"Beautiful Broken Things","Barnard, Sara","200.0","Juvenile Fiction / Girls & Women / Juvenile Fiction / Social Themes / Friendship / Juvenile Fiction / General","","","","","","I was brave. She was reckless. We were trouble. Best friends Caddy and Rosie are inseparable. Their differences have brought them closer, but as she turns sixteen Caddy begins to wish she could be a bit more like Rosie - confident, funny and interesting. Then Suzanne comes into their lives: beautiful, damaged, exciting and mysterious, and things get a whole lot more complicated. As Suzanne's past is revealed and her present begins to unravel, Caddy begins to see how much fun a little trouble can be. But the course of both friendship and recovery is rougher than either girl realises, and Caddy is about to learn that downward spirals have a momentum of their own.","'9781509803538","Pan Macmillan"
"Hourglass Factory, The","Ribchester, Lucy","150.0","Fiction / Historical / General / Fiction / Literary / Fiction / Thrillers / Suspense / Fiction / Thrillers / General","","","","","","1912 and London is in turmoil...The suffragette movement is reaching fever pitch but for broke Fleet Street tomboy Frankie George, just getting by in the cut-throat world of newspapers is hard enough. Sent to interview trapeze artist Ebony Diamond, Frankie finds herself fascinated by the tightly laced acrobat and follows her across London to a Mayfair corset shop that hides more than one dark secret. Then Ebony Diamond mysteriously disappears in the middle of a performance, and Frankie is drawn into a world of tricks, society columnists, corset fetishists, suffragettes and circus freaks. How did Ebony vanish, who was she afraid of, and what goes on behind the doors of the mysterious Hourglass Factory? From the newsrooms of Fleet Street to the drawing rooms of high society, the missing Ebony Diamond leads Frankie to the trail of a murderous villain with a plot more deadly than anyone could have imagined...A Val McDermid New Blood Pick, Theakstons Old Peculier Crime Writing Festival An Alex Gray New Crimes Pick, Bloody Scotland","'9781471139307","Simon & Schuster"
"Falling in Love Montage, The","Smyth, Ciara","230.0","Juvenile Nonfiction / Family / Marriage & Divorce / Juvenile Nonfiction / Social Topics / Dating & Relationships / Juvenile Fiction / Family / General / Juvenile Fiction / Family / Marriage & Divorce / Juvenile Fiction / Social Themes / Dating & Relationships / Juvenile Fiction / LGBTQ","","","","","","Seventeen-year-old Saoirse has finished with exams and is facing a long hot summer before uni. She plans to party, get drunk, watch horror movies and forget all her troubles by kissing girls. Ever since the breakupocalypse with her ex Hannah, she's been alone and angry, dealing with the hole left in her family by her sick mother's absence. Worse, Dad drops a bombshell: he's remarrying at the end of the summer. Enter the scene: Ruby, who might just be the prettiest girl Saoirse's ever seen. A romcom fan and a believer in true love, Ruby challenges cynical Saoirse to try a summer romance with the serious parts left out, just like in the movies. But what happens when the falling in love montage ends?","'9781783449668","Andersen Press"
