"Title","Author","Price","Genre","Stock","Status","Condition","Format","Special Feature","Synopsis","ISBN","Publisher"
"Zero Days","Ware, Ruth","199.0","Fiction / General / Fiction / Action & Adventure / Fiction / Mystery & Detective / General / Fiction / Mystery & Detective / Women Sleuths / Fiction / Mystery & Detective / Amateur Sleuth / Fiction / Thrillers / Suspense / Fiction / Thrillers / General / Fiction / Thrillers / Crime / Fiction / Women / Fiction / Family Life / General / Fiction / Crime / Fiction / World Literature / England / 21st Century","","","","","","'This is Ruth Ware like you've never read her before' DAVID BALDACCI 'She's done it again!' CLARE MACKINTOSH HER HUSBAND HAS BEEN MURDERED AND SHE'S THE ONLY SUSPECT. WHAT SHOULD SHE DO? Hired by companies to break into buildings and hack security systems, Jack and her husband Gabe are the best penetration specialists in the business. But after a routine assignment goes horribly wrong, Jack arrives home to find her husband dead. It soon becomes clear that the police have only one suspect in mind - her. Jack must go on the run to try and clear her name and to find her husband's real killer. But who can she trust when everyone she knows could be a suspect? And with the police and the killer after her, can Jack get to the truth before her time runs out? An adrenaline-fueled thriller from international bestseller and Richard & Judy pick, Ruth Ware, described as 'one of the best thriller writers around today' (Independent). PRAISE FOR ZERO DAYS: 'A suspense rollercoaster' STEVE CAVANAGH 'A full-on, paranoid thrill ride with sky-high stakes and a thoroughly absorbing premise that's never less than shockingly believable. This rare peek into the shadows of the dark web is visceral, human and terrifying. Five stars' JANICE HALLETT 'A pulse-pounding opening launches you into a cat and mouse game of deadly intrigue that will push Jack Cross, Ware's new, superb heroine, to her absolute limits. A rocket ride that will satisfy the biggest thriller addicts out there' DAVID BALDACCI 'A breathless action thriller which packs an emotional punch, Zero Days is Ruth Ware's best yet' CLARE MACKINTOSH 'Hits the ground running and doesn't let up till the last chapter. Ruth Ware's best book yet' ERIN KELLY 'Ruth Ware is in a league of her own. Zero Days is a breathless, pulse-pounding cat-and-mouse thriller that will have you racing through the pages as our heroine sets off on her deadly chase. Just don't forget to breathe . . .' JACK JORDAN 'The best thriller you'll read this year. From its explosive opening to that dizzying first twist, Zero Days is a fast-paced - but also very touching - ride' WILLIAM SHAW","'9781398508422","Simon & Schuster, Limited"
"Abundance of Katherines, An","Green, John","200.0","Juvenile Fiction / Family / General / Juvenile Fiction / Humorous Stories / Juvenile Fiction / Love & Romance / Juvenile Fiction / Social Themes / Dating & Relationships / Young Adult Fiction / Humorous / General / Young Adult Fiction / Romance / Contemporary / Young Adult Fiction / Technology / Young Adult Fiction / Social Themes / Dating & Sex / Juvenile Fiction / General","","","","","","Having been recently dumped for the nineteenth time by a girl named Katherine, recent high school graduate and former child prodigy Colin sets off on a road trip with his best friend to try to find some new direction in life while also trying to create a mathematical formula to explain his relationships.","'9780141346090","Penguin Books"
"If You Could Go Anywhere","Toon, Paige","199.0","Fiction / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Romance / Romantic Comedy / Fiction / Romance / Workplace / Fiction / Women / Fiction / Family Life / General","","","","","","'Family secrets, new horizons and a gorgeous continent-crossing romance . . . prepare to be swept away!' LUCY DIAMOND HOW DO YOU FIND WHERE YOU'RE GOING, IF YOU DON'T KNOW WHERE YOU'RE FROM? Angie has always wanted to travel. But at twenty-seven, she has barely stepped outside the small mining town where she was born. Instead, she discovers the world through stories told to her by passing travellers, dreaming that one day she'll see it all for herself. When her grandmother passes away, leaving Angie with no remaining family, she is ready to start her own adventures. Then she finds a letter revealing the address of the father she never knew, and realises instantly where her journey must begin: Italy. As Angie sets out to find the truth - about her family, her past and who she really is - will mysterious and reckless Italian Alessandro help guide the way? 'Heart-warming, wistful and full of joy . . . Paige Toon tugs on the heartstrings like no other; this is a beautiful book about someone searching for her place in the world and finding herself along the way' LINDSEY KELK 'Warm, inspiring, like a holiday mood in book form' MHAIRI MCFARLANE 'I LOVED If You Could Go Anywhere. Such a beautiful love story; not just a heady, compelling romance, but a really charming, moving story about how a life is made of so many different kinds of love . . . Will make every reader's life feel a bit more magical' DAISY BUCHANAN 'Toon writes beautifully about family, grief and the bravery in turning dreams into reality' DAILY MAIL Praise for Paige Toon: 'You'll love it, cry buckets and be uplifted' MARIAN KEYES 'Tender, heartbreaking and magical' GIOVANNA FLETCHER 'Poignant and lovely, warm and wise' MILLY JOHNSON 'A gorgeous, warm novel' ADELE PARKS 'For smart, romantic fiction, look no further than the new book from bestselling Paige Toon' RED 'Achingly romantic and brilliantly written . . . Five Stars!' HEAT 'Filled with warmth and poignancy' CATHERINE ISAAC 'Simply gorgeous' SUN 'You won't be able to put down this emotional read' CLOSER 'Paige Toon is the queen of will-they/won't-they romance, setting up an ending that will leave you in bits' SUNDAY EXPRESS 'Full of living-in-the-moment and what-might-have-been contrasts, this tender read pulls at the heart strings' FABULOUS 'A lovely read' BELLA","'9781471179464","Simon + Schuster UK"
"Will Grayson, Will Grayson","Green, John|Levithan, David","200.0","Juvenile Fiction / Humorous Stories / Juvenile Fiction / Love & Romance / Juvenile Fiction / People & Places / United States / General / Juvenile Fiction / Performing Arts / Theater & Musicals / Juvenile Fiction / Social Themes / Dating & Relationships / Juvenile Fiction / LGBTQ / Young Adult Fiction / Humorous / General / Young Adult Fiction / LGBTQ / Young Adult Fiction / Romance / General / Juvenile Fiction / General","","","","","","One cold night, in a most unlikely corner of Chicago, Will Grayson crosses paths with... Will Grayson. Two guys with the same name, running in two very different circles, suddenly find their lives going in new and unexpected directions, and culminating in epic turns-of-heart and the most fabulous musical ever to grace the high-school stage.","'9780141346113","Penguin Books"
"Paper Towns. Film Tie-In","Green, John","200.0","Juvenile Fiction / Humorous Stories / Juvenile Fiction / Love & Romance / Juvenile Fiction / Mysteries & Detective Stories / Juvenile Fiction / People & Places / United States / General / Young Adult Fiction / General","","","","","","From the New York Times bestselling author, Paper Towns is soon to be a major motion picture (summer 2015) starring The Fault in our Stars sensation Nat Wolff and Cara Delevingne. Quentin Jacobsen has always loved Margo Roth Spiegelman, for Margo (and her adventures) are the stuff of legend at their high school. So when she one day climbs through his window and summons him on an all-night road trip of revenge he cannot help but follow. But the next day Margo doesn't come to school and a week later she is still missing. Q soon learns that there are clues in her disappearance . . . and they are for him. But as he gets deeper into the mystery - culminating in another awesome road trip across America - he becomes less sure of who and what he is looking for. Masterfully written by John Green, this is a thoughtful, insightful and hilarious coming-of-age story. Paper Towns the film will be released in 2015.","'9781408867846","Bloomsbury"
"Alias Grace","Atwood, Margaret","220.0","Biographical fiction","","","","","","Sometimes I whisper it over to myself: Murderess. Murderess. It rustles, like a taffeta skirt along the floor.' Grace Marks. Female fiend? Femme fatale? Or weak and unwilling victim? Around the true story of one of the most enigmatic and notorious women of the 1840s, Margaret Atwood has created an extraordinarily potent tale of sexuality, cruelty and mystery.","'9781860492594","Virago"
"Echo Wife, The","Gailey, Sarah","200.0","Fiction / Science Fiction / Genetic Engineering / Fiction / Thrillers / Domestic","","","","","","Sarah Gailey's The Echo Wife is a non-stop thrill ride of lies, betrayal, and identity, perfect for fans of Big Little Lies and Killing Eve. Evelyn Caldwell’s husband Nathan has been having an affair — with Evelyn Caldwell. Or, to be exact, with Martine, a genetically cloned replica made from Evelyn’s own award-winning research. But that wasn’t even the worst part. When they said all happy families are alike, I don’t think this is what they meant...","'9781250174666","Tor Publishing Group"
"White Tiger, The","Adiga, Aravind","200.0","Fiction / Mystery & Detective / General","","","","","","Balram's journey from darkness to the light of success is a brilliantly irreverent, blackly comic, deeply endearing and altogether unforgettable tour de force.","'9781843547204","Atlantic Books"
"Eleanor Oliphant is Completely Fine","Honeyman, Gail","190.0","Chick lit","","","","","","Over 2.5 million copies sold 'Funny, touching and unpredictable' Jojo Moyes 'Heartwrenching and wonderful' Nina Stibbe Winner of Costa First Novel Award, a No.1 Sunday Times bestseller and the Book of the Year Eleanor Oliphant has learned how to survive - but not how to live Eleanor Oliphant leads a simple life. She wears the same clothes to work every day, eats the same meal deal for lunch every day and buys the same two bottles of vodka to drink every weekend. Eleanor Oliphant is happy. Nothing is missing from her carefully timetabled life. Except, sometimes, everything. One simple act of kindness is about to shatter the walls Eleanor has built around herself. Now she must learn how to navigate the world that everyone else seems to take for granted - while searching for the courage to face the dark corners she's avoided all her life. Change can be good. Change can be bad. But surely any change is better than... fine? 'Moving, funny and devastating' The Herald 'Unforgettable, brilliant, funny and life-affirming' Daily Mail 'I adored it. Skilled, perceptive, Eleanor's world will feel familiar to you from the very first page. An outstanding debut!' Joanna Cannon","'9780008172145","HarperCollins Publishers Limited"
"Girl who Saved the King of Sweden, The","Jonasson, Jonas","200.0","Nuclear weapons","","","","","","Jonas Jonasson's picaresque tale of how one person's actions can have far-reaching--even global--consequences, written with the same light-hearted satirical voice as his bestselling debut novel, The 100-Year-Old Man Who Climbed Out the Window and Disappeared. On June 14th, 2007, the King and Prime Minister of Sweden went missing from a gala banquet at the Royal Castle. Later it was said that both had fallen ill: the truth is different. The real story starts much earlier, in 1961, with the birth of Nombeko Mayeki in a shack in Soweto. Nombeko was fated to grow up fast and die early in her poverty-stricken township. But Nombeko takes a different path. She finds work as a housecleaner and eventually makes her way up to the position of chief advisor, at the helm of one of the world's most secret projects. Here is where the story merges with, then diverges from reality. South Africa developed six nuclear missiles in the 1980s, then voluntarily dismantled them in 1994. This is a story about the seventh missile . . . the one that was never supposed to have existed. Nombeko Mayeki knows too much about it, and now she's on the run from both the South African justice and the most terrifying secret service in the world. She ends up in Sweden, which has transformed into a nuclear nation, and the fate of the world now lies in Nombeko's hands.","'9780007557905","Fourth Estate"
"Accidental Further Adventures of the Hundred-Year-Old Man, The","Jonasson, Jonas|Willson-Broyles, Rachel","200.0","Fiction / General / Fiction / Action & Adventure / Fiction / Humorous / General / Fiction / Political / Fiction / Satire / Fiction / Humorous / Black Humor","","","","","","","'9780008275570","HarperCollins Publishers Limited"
"Road Trip, The","O'Leary, Beth","230.0","Fiction / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Romance / Romantic Comedy / Fiction / Women","","","","","","The instant UK Sunday Times Bestseller 'Beth O'Leary is that rare, one-in-a-million talent who can make you laugh, swoon, cry and ache all in the same book' Emily Henry 'Read this! Absolutely loved it!' Christina Lauren Addie and her sister are on an epic road trip to a friend's wedding in rural Scotland. But, not long after setting off, a car slams into theirs. The driver is none other than Addie's ex, who she hasn't seen since their traumatic break-up two years earlier. Dylan and his best mate are heading to the wedding too, so Addie has no choice but to offer them a ride. And with four hundred miles to go, they can't avoid confronting the very messy history of their relationship . . . Will they make it to the wedding? And, more importantly, is this really the end of the road for Addie and Dylan? 'Funny, relatable and tender' Red 'This book is perfect' Rosie Walsh 'Beth is quite rightly earning her title as ""Queen of Uplit""' Prima 'If Richard Curtis and Nora Ephron made a story baby' Zoella Book Club 'So romantic and moving and brilliantly told' Louise O'Neill 'O'Leary does it again! The Road Trip is another sure-fire hit, filled with characters you won't forget' Mike Gayle 'An achingly tender love story' Richard Roper","'9781529409093","Quercus"
"Flawed","Ahern, Cecelia","190.0","Juvenile Fiction / Love & Romance / Juvenile Fiction / Social Themes / Prejudice & Racism / Juvenile Fiction / Science Fiction / General / Juvenile Fiction / Dystopian / Young Adult Fiction / Dystopian / Young Adult Fiction / Social Themes / Values & Virtues","","","","","","The stunning YA debut from internationally bestselling author Cecelia Ahern. Celestine North lives a perfect life. She's a model daughter and sister, she's well-liked by her classmates and teachers, and she's dating the impossibly charming Art Crevan. But then Celestine encounters a situation in which she makes an instinctive decision. She breaks a rule and now faces life-changing repercussions. She could be imprisoned. She could be branded. She could be found FLAWED. In this stunning novel, bestselling author Cecelia Ahern depicts a society in which perfection is paramount and mistakes are punished. And where one young woman decides to take a stand that could cost her everything.","'9780008125127","HarperCollins Publishers Limited"
"PS, I Love You","Ahern, Cecelia","150.0","Bereavement","","","","","","Devoted to her husband, Gerry, Holly has always depended on his practical advice and lists to keep her going and is lost when she loses him to brain cancer, until a package arrives containing ten envolopes filled with practical and impractical advice for carrying on her life without her beloved husband at her side.","'9780007712960","Harper"
"Time of My Life, The","Ahern, Cecelia","300.0","Fiction / General / Fiction / Literary / Fiction / Romance / Fantasy / Fiction / Women / Fiction / Family Life / General","","","","","","The stunning and magical new novel from the Number One bestselling author of PS, I Love You","'9780007350438","HarperCollins"
"Lies Like Poison","Pitcher, Chelsea","190.0","Juvenile Nonfiction / Family / Marriage & Divorce / Juvenile Fiction / Action & Adventure / General / Juvenile Fiction / Law & Crime / Juvenile Fiction / Mysteries & Detective Stories / Juvenile Fiction / Social Themes / Death, Grief, Bereavement / Juvenile Fiction / Social Themes / Friendship / Juvenile Fiction / Thrillers & Suspense","","","","","","From the author of bestselling THIS LIE WILL KILL YOU comes another unputdownable thriller about a group of friends who will do anything to protect each other. Even murder.... Perfect for fans of RIVERDALE meets ONE OF US IS LYING.","'9781471193149","Simon & Schuster, Limited"
"Game of Thrones, A","Martin, George R. R.","280.0","Fiction / Fantasy / General","","","","","","A NEW ORIGINAL SERIES, NOW ON HBO. Here is the first volume in George R. R. Martin's magnificent cycle of novels that includes ""A Clash of Kings"" and ""A Storm of Swords."" As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin's stunning series is destined to stand as one of the great achievements of imaginative fiction. A GAME OF THRONES Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister and supernatural forces are massing beyond the kingdom's protective Wall. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the land they were born to. Sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; and a determined woman undertakes the most treacherous of journeys. Amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the Starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones. ""From the Paperback edition.""","'9780007428540","HarperCollins Publishers Limited"
